DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 10:00,778.9634,20.7884,37.712204,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:05,768.2397,20.77845,37.758449,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:10,785.5626,20.7884,37.804694,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:15,783.9128,20.8083,37.84169,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:20,,,,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:25,780.6132,20.83815,37.850939,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:30,773.1891,20.83815,37.93418,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:35,802.8855,20.83815,37.915682,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:40,793.8116,20.8282,37.952678,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:45,808.6598,20.868,38.008172,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:50,817.7337,20.8481,38.063666,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 10:55,789.6871,20.87795,38.063666,1,1,0,0,1,0,0,1,16,10,1,0,0
30-01-23 11:00,811.9594,20.868,38.091413,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:05,815.259,20.8879,38.156156,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:10,798.761,20.8879,38.146907,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:15,788.8622,20.8879,38.146907,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:20,,,,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:25,814.4341,20.9078,38.100662,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:30,820.2084,20.9277,38.063666,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:35,798.761,20.91775,38.054417,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:40,816.9088,20.9277,38.091413,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:45,790.512,20.91775,38.008172,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:50,793.8116,20.91775,38.072915,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 11:55,788.8622,20.93765,37.998923,1,1,0,0,1,0,0,1,16,11,1,0,0
30-01-23 12:00,785.5626,20.9277,38.008172,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:05,783.0879,20.9277,38.017421,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:10,783.9128,20.93765,37.980425,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:15,809.4847,20.95755,37.971176,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:20,,,,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:25,794.6365,20.9874,38.008172,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:30,826.8076,20.97745,37.971176,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:35,802.0606,20.9874,37.980425,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:40,761.6405,20.9874,37.93418,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:45,798.761,20.9874,37.93418,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:50,792.1618,20.97745,37.924931,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 12:55,806.1851,20.9874,38.017421,1,1,0,0,1,0,0,1,16,12,1,0,0
30-01-23 13:00,792.1618,20.99735,38.017421,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:05,821.8582,21.0073,38.091413,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:10,792.1618,21.01725,38.045168,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:15,798.761,21.0272,37.943429,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:20,,,,1,1,0,0,1,0,0,1,16,13,1,0,0
30-01-23 13:25,816.9088,21.0869,37.971176,1,1,0,0,1,0,0,1,16,13,1,0,0
