co2_concentration,air_temperature,relative_humidity,kitchen,livingroom,bedroom,office,kitchen_livingroom,day_sin,day_cos,hour_sin,hour_cos
717.3708667,20.9476,43.166031,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,-0.5
723.0076833,20.97413333,43.135201,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,-0.5
749.267,20.9874,43.141367,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,-0.5
746.5173333,21.00066667,43.092039,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,-0.707106781
750.9168,21.0073,43.055043,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,-0.707106781
755.7287167,21.03383333,43.039628,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,-0.707106781
756.9660667,21.04046667,42.996466,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,-0.707106781
739.3682,21.0471,42.962553,0,0,1,0,0,0.433883739,-0.900968868,0.5,-0.866025404
737.1684667,21.0471,42.974885,0,0,1,0,0,0.433883739,-0.900968868,0.5,-0.866025404
747.20475,21.08026667,43.378758,0,0,1,0,0,0.433883739,-0.900968868,0.5,-0.866025404
770.1644667,21.09685,43.613066,0,0,1,0,0,0.433883739,-0.900968868,0.5,-0.866025404
753.1165333,21.1068,43.502078,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,-0.965925826
737.9933667,21.10348333,43.347928,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,-0.965925826
702.66015,21.131675,43.1891535,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,-0.965925826
695.0985667,21.1267,43.085873,0,0,1,0,0,0.433883739,-0.900968868,0.258819045,-0.965925826
678.0506333,21.12338333,42.981051,0,0,1,0,0,0.433883739,-0.900968868,1.22E-16,-1
662.1025667,21.12338333,42.900893,0,0,1,0,0,0.433883739,-0.900968868,1.22E-16,-1
638.8678833,21.14494167,42.8284425,0,0,1,0,0,0.433883739,-0.900968868,1.22E-16,-1
636.8056333,21.1665,42.725162,0,0,1,0,0,0.433883739,-0.900968868,1.22E-16,-1
621.9574333,21.1665,42.688166,0,0,1,0,0,0.433883739,-0.900968868,-0.258819045,-0.965925826
613.1585,21.15655,42.663502,0,0,1,0,0,0.433883739,-0.900968868,-0.258819045,-0.965925826
606.97175,21.16981667,42.5972175,0,0,1,0,0,0.433883739,-0.900968868,-0.258819045,-0.965925826
596.3855333,21.15323333,42.561763,0,0,1,0,0,0.433883739,-0.900968868,-0.258819045,-0.965925826
599.4101667,21.1466,42.524767,0,0,1,0,0,0.433883739,-0.900968868,-0.5,-0.866025404
587.3116333,21.12338333,42.524767,0,0,1,0,0,0.433883739,-0.900968868,-0.5,-0.866025404
596.3855333,21.13665,42.484688,0,0,1,0,0,0.433883739,-0.900968868,-0.5,-0.866025404
589.7863333,21.13333333,42.463107,0,0,1,0,0,0.433883739,-0.900968868,-0.5,-0.866025404
567.2390667,21.11011667,42.450775,0,0,1,0,0,0.433883739,-0.900968868,-0.707106781,-0.707106781
580.1625,21.11343333,42.413779,0,0,1,0,0,0.433883739,-0.900968868,-0.707106781,-0.707106781
587.3116333,21.101825,42.413779,0,0,1,0,0,0.433883739,-0.900968868,-0.707106781,-0.707106781
563.1145667,21.09353333,42.416862,0,0,1,0,0,0.433883739,-0.900968868,-0.707106781,-0.707106781
566.4141667,21.10348333,42.441526,0,0,1,0,0,0.433883739,-0.900968868,-0.866025404,-0.5
575.4880667,21.0869,42.500103,0,0,1,0,0,0.433883739,-0.900968868,-0.866025404,-0.5
614.1208833,21.09021667,42.8068615,0,0,1,0,0,0.433883739,-0.900968868,-0.866025404,-0.5
636.8056333,21.0869,42.984134,0,0,1,0,0,0.433883739,-0.900968868,-0.866025404,-0.5
640.3802,21.08358333,43.061209,0,0,1,0,0,0.433883739,-0.900968868,-0.965925826,-0.258819045
656.3282667,21.05373333,43.14445,0,0,1,0,0,0.433883739,-0.900968868,-0.965925826,-0.258819045
646.8419167,20.972475,43.178363,0,0,1,0,0,0.433883739,-0.900968868,-0.965925826,-0.258819045
664.3023,20.89121667,43.196861,0,0,1,0,0,0.433883739,-0.900968868,-0.965925826,-0.258819045
